race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3612 (0.3331-0.3828),0.6388 (0.6172-0.6669),0.3466 (0.3307-0.3587)
OVAP,0.744 (0.4702-0.933),0.256 (0.067-0.5298),0.138 (0.0681-0.2346)
