race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7051 (0.6534-0.7601),0.2949 (0.2399-0.3466),0.0635 (0.0565-0.0695)
OVAP,0.39 (0.1463-0.651),0.61 (0.349-0.8537),0.0896 (0.0484-0.1408)
