race,AG18D,AG18R,AG18Turnout
WVAP,0.3361 (0.3121-0.3585),0.6639 (0.6415-0.6879),0.3543 (0.3376-0.3687)
OVAP,0.7302 (0.4623-0.905),0.2698 (0.095-0.5377),0.1455 (0.0622-0.2481)
