race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3704 (0.3454-0.393),0.6296 (0.607-0.6546),0.3604 (0.3454-0.3735)
OVAP,0.7828 (0.5258-0.9419),0.2172 (0.0581-0.4742),0.168 (0.0897-0.2633)
