race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.5067 (0.4436-0.5691),0.063 (0.0368-0.0901),0.1947 (0.1496-0.2361),0.0375 (0.018-0.0624),0.198 (0.1407-0.2551),0.0288 (0.0251-0.0325)
OVAP,0.2599 (0.1038-0.4151),0.1373 (0.0605-0.2322),0.1542 (0.0577-0.2739),0.1594 (0.0804-0.2526),0.2892 (0.1413-0.4439),0.0879 (0.0607-0.1171)
