race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3758 (0.3542-0.396),0.6242 (0.604-0.6458),0.4731 (0.4552-0.4895)
OVAP,0.7753 (0.5201-0.9303),0.2247 (0.0697-0.4799),0.1933 (0.0976-0.3003)
