race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4313 (0.4055-0.4559),0.5687 (0.5441-0.5945),0.3226 (0.3087-0.3361)
BVAP,0.6288 (0.319-0.8799),0.3712 (0.1201-0.681),0.1072 (0.0512-0.1796)
HVAP,0.672 (0.3681-0.9114),0.328 (0.0886-0.6319),0.5033 (0.2468-0.7505)
OVAP,0.7239 (0.3988-0.9311),0.2761 (0.0689-0.6012),0.6047 (0.341-0.8398)
