,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.2452 (0.2309-0.2593),0.2191 (0.137-0.3009),0.3127 (0.1801-0.4447),0.1409 (0.1077-0.1775),0.1465 (0.1214-0.1709),0.3153 (0.2644-0.3604)
full_WVAP,0.2889 (0.2749-0.3021),0.3275 (0.2384-0.413),0.3473 (0.2164-0.4716),0.2484 (0.2075-0.2896),0.2195 (0.1957-0.2435),0.3525 (0.309-0.3962)
eday_POCVAP,0.7213 (0.7066-0.7363),0.8576 (0.8417-0.8746),0.8787 (0.8023-0.9439),0.6861 (0.6664-0.7053),0.6941 (0.6429-0.7442),0.7366 (0.6224-0.8312)
full_POCVAP,0.7049 (0.6913-0.7191),0.8446 (0.829-0.8599),0.8276 (0.7586-0.895),0.6655 (0.646-0.6841),0.6353 (0.5921-0.6794),0.7186 (0.6021-0.817)
