,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.0644 (0.0627-0.0661),0.1002 (0.085-0.1165),0.0796 (0.0642-0.0966),0.1092 (0.0998-0.1189),0.0869 (0.0828-0.091),0.037 (0.034-0.0398)
full_WVAP,0.084 (0.0819-0.086),0.1292 (0.1087-0.1507),0.0943 (0.0741-0.1154),0.1457 (0.1342-0.1573),0.1123 (0.1072-0.1176),0.053 (0.0489-0.057)
eday_POCVAP,0.0975 (0.0945-0.1004),0.0921 (0.0892-0.095),0.1395 (0.1186-0.1594),0.098 (0.0945-0.1016),0.0961 (0.087-0.1053),0.0538 (0.0409-0.0685)
full_POCVAP,0.1371 (0.1335-0.1409),0.1305 (0.1266-0.1345),0.1859 (0.1601-0.2103),0.1353 (0.1306-0.1398),0.1406 (0.129-0.1524),0.078 (0.0598-0.0985)
