,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.3468 (0.3418-0.3517),0.3584 (0.3234-0.3962),0.3387 (0.3109-0.3717),0.2528 (0.2341-0.2723),0.3537 (0.344-0.3636),0.2815 (0.2673-0.2964)
full_WVAP,0.4444 (0.438-0.4512),0.4745 (0.4267-0.5247),0.4151 (0.3778-0.4582),0.3485 (0.3239-0.3754),0.4607 (0.4473-0.4742),0.3777 (0.3598-0.3958)
eday_POCVAP,0.2291 (0.221-0.2372),0.2266 (0.2187-0.2344),0.3637 (0.3228-0.3976),0.1963 (0.1884-0.2045),0.2169 (0.1964-0.2373),0.4053 (0.3346-0.4707)
full_POCVAP,0.3054 (0.2944-0.3165),0.3095 (0.2986-0.3205),0.4453 (0.3926-0.4924),0.2538 (0.2418-0.2652),0.2943 (0.2653-0.3229),0.4985 (0.4186-0.5722)
