,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.387 (0.3732-0.4018),0.2769 (0.2125-0.3432),0.3322 (0.168-0.5151),0.4063 (0.3729-0.4399),0.3946 (0.3679-0.421),0.4752 (0.4356-0.5138)
full_WVAP,0.4032 (0.3889-0.418),0.2798 (0.2096-0.3423),0.3691 (0.198-0.5468),0.4168 (0.3845-0.4503),0.4258 (0.4024-0.4491),0.494 (0.4592-0.5296)
eday_POCVAP,0.4694 (0.4553-0.4834),0.4287 (0.4124-0.4447),0.465 (0.4136-0.5185),0.4758 (0.4564-0.4959),0.5232 (0.4819-0.5646),0.3343 (0.2327-0.4434)
full_POCVAP,0.4465 (0.4334-0.4602),0.4151 (0.4005-0.4305),0.4484 (0.3968-0.5012),0.4769 (0.46-0.4944),0.4955 (0.4626-0.5301),0.3216 (0.2237-0.4206)
