,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.1944 (0.1838-0.205),0.3088 (0.2263-0.3857),0.0857 (0.038-0.1492),0.5125 (0.4717-0.555),0.1866 (0.1654-0.2066),0.0789 (0.0554-0.1089)
full_WVAP,0.2197 (0.2081-0.2312),0.2335 (0.166-0.3022),0.0979 (0.0439-0.1908),0.4907 (0.4449-0.5377),0.2081 (0.1841-0.233),0.1019 (0.0774-0.1312)
eday_POCVAP,0.857 (0.8426-0.8708),0.8348 (0.8167-0.8529),0.8562 (0.7719-0.9359),0.7897 (0.7685-0.8098),0.8703 (0.8295-0.9078),0.7367 (0.6193-0.8489)
full_POCVAP,0.8685 (0.853-0.8834),0.8763 (0.8559-0.8933),0.9142 (0.8224-0.9716),0.8229 (0.7979-0.8462),0.9179 (0.8746-0.9521),0.7576 (0.657-0.8516)
