,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.1288 (0.1155-0.143),0.1685 (0.0965-0.2574),0.2239 (0.0761-0.406),0.185 (0.1397-0.2372),0.1104 (0.0852-0.1382),0.245 (0.1961-0.2959)
full_WVAP,0.1627 (0.1482-0.1778),0.2642 (0.1719-0.3599),0.267 (0.111-0.4608),0.2974 (0.245-0.3492),0.1932 (0.1645-0.223),0.2463 (0.2026-0.2923)
eday_POCVAP,0.6677 (0.6522-0.6835),0.7673 (0.7443-0.7899),0.6953 (0.6283-0.7701),0.7419 (0.7208-0.7621),0.7409 (0.697-0.7828),0.7532 (0.6242-0.8652)
full_POCVAP,0.628 (0.6121-0.6437),0.7388 (0.717-0.7602),0.6685 (0.5974-0.7379),0.6975 (0.6741-0.7195),0.6535 (0.609-0.6969),0.6801 (0.5514-0.7975)
