,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.0534 (0.0515-0.0555),0.1262 (0.1076-0.145),0.0287 (0.0178-0.0415),0.1256 (0.1154-0.1353),0.0611 (0.0576-0.0647),0.0265 (0.0242-0.0288)
full_WVAP,,0.194 (0.1683-0.2203),0.0426 (0.0285-0.0584),0.1783 (0.1665-0.1899),0.0949 (0.0902-0.0994),0.0436 (0.0404-0.0468)
eday_BVAP,0.1087 (0.1045-0.1129),0.1307 (0.1257-0.1358),0.124 (0.098-0.1529),0.086 (0.0824-0.0898),0.0974 (0.0877-0.1073),0.0422 (0.0312-0.0551)
full_BVAP,,0.2062 (0.1996-0.2135),0.1787 (0.1411-0.2157),0.1332 (0.1286-0.1381),0.1594 (0.1478-0.1713),0.0652 (0.0494-0.0831)
eday_HVAP,0.0315 (0.0229-0.0412),0.0234 (0.0156-0.0335),0.3348 (0.2028-0.4783),0.0596 (0.0409-0.0823),0.0664 (0.0423-0.0942),0.0978 (0.0647-0.1376)
full_HVAP,,0.0308 (0.0208-0.0434),0.4175 (0.2696-0.5844),0.0704 (0.0472-0.097),0.0917 (0.0602-0.1308),0.141 (0.0961-0.1958)
eday_OVAP,0.2188 (0.1974-0.2372),0.0959 (0.0699-0.1217),0.4996 (0.3412-0.6589),0.168 (0.1212-0.2251),0.1183 (0.0878-0.1514),0.0926 (0.0624-0.129)
full_OVAP,,0.1375 (0.1097-0.1693),0.605 (0.4095-0.7921),0.2273 (0.1802-0.2787),0.1682 (0.1248-0.2136),0.1151 (0.0772-0.16)
