,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.3774 (0.3713-0.3834),0.3991 (0.3522-0.4473),0.3718 (0.3249-0.4181),0.334 (0.3108-0.3579),0.3577 (0.3462-0.3689),0.2964 (0.2783-0.313)
full_WVAP,0.5905 (0.5821-0.5996),0.7831 (0.7267-0.8338),0.5702 (0.5063-0.6315),0.5406 (0.5054-0.576),0.5794 (0.5603-0.5988),0.4666 (0.4456-0.487)
eday_POCVAP,0.2827 (0.2743-0.2912),0.2789 (0.2706-0.2877),0.4387 (0.3909-0.4883),0.2063 (0.1976-0.2152),0.2463 (0.227-0.2673),0.4253 (0.3523-0.5005)
full_POCVAP,0.4616 (0.4474-0.475),0.4313 (0.4193-0.444),0.6175 (0.5497-0.6811),0.3044 (0.2906-0.3183),0.4073 (0.3655-0.4484),0.6024 (0.5218-0.6839)
