,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.1062 (0.1028-0.1096),0.1906 (0.1593-0.2227),0.0692 (0.0474-0.0931),0.1773 (0.1619-0.1943),0.1137 (0.1075-0.1199),0.0561 (0.0514-0.0606)
full_WVAP,0.1443 (0.1396-0.1489),0.2392 (0.1984-0.2832),0.0835 (0.056-0.1114),0.2501 (0.2293-0.2721),0.1569 (0.1484-0.1656),0.0812 (0.0745-0.0878)
eday_POCVAP,0.1705 (0.1655-0.1753),0.1538 (0.1484-0.1591),0.2425 (0.2153-0.2685),0.1747 (0.1681-0.1815),0.1808 (0.1676-0.1941),0.0776 (0.0579-0.0988)
full_POCVAP,0.2447 (0.2382-0.2514),0.2237 (0.216-0.2309),0.3053 (0.2724-0.3389),0.2435 (0.2346-0.2526),0.2519 (0.2328-0.2716),0.1141 (0.0863-0.1449)
