,Statewide,Prince George's,Charles,BaltimoreCity,BaltimoreCounty,Eastern
eday_WVAP,0.0574 (0.0557-0.0591),0.1238 (0.1075-0.1399),0.0402 (0.0276-0.0542),0.1341 (0.1258-0.1429),0.0638 (0.0606-0.067),0.0297 (0.0273-0.0321)
full_WVAP,0.0835 (0.0812-0.0857),0.1814 (0.1608-0.2034),0.0545 (0.0389-0.0728),0.1858 (0.1747-0.1976),0.0963 (0.0922-0.1005),0.0475 (0.0441-0.0506)
eday_POCVAP,0.1132 (0.11-0.1166),0.1125 (0.1092-0.1161),0.1744 (0.1576-0.1906),0.085 (0.0819-0.0881),0.0927 (0.0857-0.1001),0.0443 (0.0343-0.0547)
full_POCVAP,0.1728 (0.1688-0.1768),0.1769 (0.1722-0.1816),0.2375 (0.2153-0.2576),0.1311 (0.1268-0.1355),0.1502 (0.1409-0.1594),0.0674 (0.0546-0.082)
