race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3371 (0.301-0.3749),0.6629 (0.6251-0.699),0.3564 (0.3374-0.3772)
OVAP,0.8916 (0.7772-0.9648),0.1084 (0.0352-0.2228),0.342 (0.2436-0.4397)
