race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8705 (0.8118-0.9278),0.1295 (0.0722-0.1882),0.0705 (0.0627-0.0777)
OVAP,0.21 (0.1059-0.333),0.79 (0.667-0.8941),0.1866 (0.1485-0.228)
