race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9745 (0.9544-0.9885),0.0255 (0.0115-0.0456),0.0284 (0.0235-0.0336)
OVAP,0.8208 (0.7344-0.8831),0.1792 (0.1169-0.2656),0.0714 (0.0488-0.0955)
