race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.2932 (0.2639-0.3206),0.7068 (0.6794-0.7361),0.5461 (0.5251-0.5675)
OVAP,0.9307 (0.8546-0.9796),0.0693 (0.0204-0.1454),0.4836 (0.3878-0.5842)
