race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3676 (0.3372-0.3977),0.6324 (0.6023-0.6628),0.3678 (0.3498-0.3855)
OVAP,0.9312 (0.8615-0.9764),0.0688 (0.0236-0.1385),0.4136 (0.3293-0.4997)
