race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.2284 (0.1921-0.263),0.7716 (0.737-0.8079),0.4092 (0.3911-0.4282)
OVAP,0.8981 (0.8004-0.9635),0.1019 (0.0365-0.1996),0.4048 (0.3107-0.5043)
