race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1126 (0.086-0.1414),0.8874 (0.8586-0.914),0.3906 (0.378-0.4038)
OVAP,0.9069 (0.8072-0.9688),0.0931 (0.0312-0.1928),0.2819 (0.2159-0.3477)
