race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.2229 (0.1891-0.2588),0.7771 (0.7412-0.8109),0.4225 (0.4043-0.4433)
OVAP,0.9047 (0.8086-0.972),0.0953 (0.028-0.1914),0.4157 (0.3174-0.5108)
