race,AG14D,AG14R,AG14Turnout
WVAP,0.2916 (0.2608-0.3205),0.7084 (0.6795-0.7392),0.3727 (0.3567-0.388)
OVAP,0.8885 (0.7741-0.9634),0.1115 (0.0366-0.2259),0.2407 (0.1697-0.3183)
