race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4977 (0.4257-0.5694),0.1617 (0.1191-0.2062),0.1697 (0.1248-0.211),0.0307 (0.0148-0.0519),0.1402 (0.0974-0.1895),0.0323 (0.0282-0.0363)
OVAP,0.5037 (0.3871-0.6211),0.1287 (0.0604-0.2043),0.1039 (0.0429-0.1814),0.0712 (0.0286-0.113),0.1926 (0.1115-0.2703),0.1042 (0.0833-0.1261)
