race,AG18D,AG18R,AG18Turnout
WVAP,0.2948 (0.2586-0.3321),0.7052 (0.6679-0.7414),0.3801 (0.3606-0.4003)
OVAP,0.8961 (0.7793-0.9627),0.1039 (0.0373-0.2207),0.3581 (0.2542-0.4611)
