race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4945 (0.4648-0.521),0.5055 (0.479-0.5352),0.3948 (0.3736-0.4149)
OVAP,0.8393 (0.6879-0.9413),0.1607 (0.0587-0.3121),0.2695 (0.1718-0.3765)
