race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4432 (0.419-0.466),0.5568 (0.534-0.581),0.4119 (0.395-0.4281)
OVAP,0.8397 (0.6737-0.9469),0.1603 (0.0531-0.3263),0.1911 (0.1202-0.2697)
