race,AG14D,AG14R,AG14Turnout
WVAP,0.2907 (0.2629-0.3188),0.7093 (0.6812-0.7371),0.3613 (0.3474-0.3756)
BVAP,0.8562 (0.6971-0.9616),0.1438 (0.0384-0.3029),0.2134 (0.1284-0.3098)
HVAP,0.6726 (0.3482-0.9043),0.3274 (0.0957-0.6518),0.2457 (0.1291-0.407)
OVAP,0.7533 (0.4982-0.9131),0.2467 (0.0869-0.5018),0.5185 (0.2909-0.7442)
