race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.0754 (0.0454-0.1086),0.9246 (0.8914-0.9546),0.3779 (0.364-0.393)
OVAP,0.8735 (0.7659-0.9527),0.1265 (0.0473-0.2341),0.38 (0.2965-0.4615)
