race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5775 (0.5231-0.6336),0.0657 (0.0342-0.1042),0.3567 (0.3019-0.4094),0.0504 (0.0453-0.0554)
OVAP,0.1659 (0.0665-0.2859),0.4252 (0.3124-0.5469),0.4089 (0.2829-0.532),0.1031 (0.0788-0.1297)
