race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4982 (0.4703-0.5268),0.5018 (0.4732-0.5297),0.3745 (0.3566-0.3923)
BVAP,0.7818 (0.5666-0.9239),0.2182 (0.0761-0.4334),0.2476 (0.1437-0.3633)
HVAP,0.6179 (0.2564-0.8836),0.3821 (0.1164-0.7436),0.2982 (0.1273-0.4934)
OVAP,0.7326 (0.4513-0.9332),0.2674 (0.0668-0.5487),0.6693 (0.4245-0.8566)
