race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.1698 (0.1061-0.2303),0.4396 (0.3908-0.4883),0.3906 (0.3431-0.4395),0.0492 (0.0445-0.0539)
OVAP,0.7118 (0.5749-0.8369),0.1449 (0.0545-0.2622),0.1433 (0.0557-0.2558),0.1089 (0.0832-0.1367)
