race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.7092 (0.646-0.7658),0.0434 (0.0201-0.074),0.2474 (0.1934-0.3016),0.094 (0.0838-0.1044)
OVAP,0.2463 (0.1312-0.3831),0.3454 (0.262-0.4447),0.4083 (0.2888-0.5158),0.0688 (0.0523-0.0855)
