race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6543 (0.6014-0.7109),0.3457 (0.2891-0.3986),0.4269 (0.3827-0.4704)
BVAP,0.9091 (0.8097-0.97),0.0909 (0.03-0.1903),0.3465 (0.2402-0.4661)
HVAP,0.7555 (0.4583-0.9181),0.2445 (0.0819-0.5417),0.3415 (0.1475-0.5698)
OVAP,0.6963 (0.4515-0.8857),0.3037 (0.1143-0.5485),0.3614 (0.2215-0.5237)
