race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5649 (0.5282-0.5965),0.4351 (0.4035-0.4718),0.5032 (0.4657-0.538)
OVAP,0.8488 (0.6973-0.9419),0.1512 (0.0581-0.3027),0.1396 (0.0857-0.1991)
