race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.5883 (0.5401-0.63),0.4117 (0.37-0.4599),0.4369 (0.3924-0.4809)
OVAP,0.9273 (0.8581-0.9715),0.0727 (0.0285-0.1419),0.304 (0.2323-0.3778)
