race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1565 (0.1054-0.2154),0.8435 (0.7846-0.8946),0.437 (0.4062-0.4688)
OVAP,0.919 (0.8389-0.97),0.081 (0.03-0.1611),0.3635 (0.309-0.4155)
