race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.5117 (0.4568-0.563),0.4883 (0.437-0.5432),0.4388 (0.3935-0.4845)
OVAP,0.9292 (0.8548-0.9725),0.0708 (0.0275-0.1452),0.2956 (0.2226-0.3676)
