race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5606 (0.5211-0.5961),0.4394 (0.4039-0.4789),0.4559 (0.4184-0.4875)
BVAP,0.8453 (0.6485-0.9501),0.1547 (0.0499-0.3515),0.1661 (0.0819-0.2522)
HVAP,0.7787 (0.5515-0.9281),0.2213 (0.0719-0.4485),0.3067 (0.144-0.5059)
OVAP,0.7034 (0.4486-0.8968),0.2966 (0.1032-0.5514),0.2197 (0.122-0.3306)
