race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.3587 (0.3015-0.4098),0.6413 (0.5902-0.6985),0.4659 (0.4254-0.5051)
OVAP,0.901 (0.8009-0.961),0.099 (0.039-0.1991),0.2026 (0.1388-0.2696)
