race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4534 (0.3777-0.5205),0.2548 (0.219-0.2925),0.2918 (0.2403-0.339),0.0916 (0.0807-0.102)
OVAP,0.8261 (0.7196-0.9003),0.0634 (0.0294-0.1215),0.1105 (0.0468-0.2072),0.08 (0.0621-0.0998)
