race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.887 (0.829-0.9428),0.113 (0.0572-0.171),0.1553 (0.1368-0.1726)
OVAP,0.2492 (0.1193-0.3673),0.7508 (0.6327-0.8807),0.1475 (0.1206-0.178)
