race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4482 (0.3839-0.5153),0.0932 (0.0715-0.11),0.1792 (0.1439-0.2118),0.0587 (0.0366-0.075),0.2206 (0.1733-0.2695),0.0957 (0.086-0.1061)
OVAP,0.6153 (0.5002-0.717),0.0364 (0.0155-0.0753),0.0809 (0.0319-0.14),0.0424 (0.0174-0.0829),0.225 (0.1439-0.3078),0.0941 (0.0765-0.1106)
