race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9799 (0.9655-0.9897),0.0201 (0.0103-0.0345),0.0621 (0.0515-0.0727)
OVAP,0.8407 (0.7804-0.8859),0.1593 (0.1141-0.2196),0.0591 (0.0423-0.0764)
