race,AG14D,AG14R,AG14Turnout
WVAP,0.4872 (0.4415-0.529),0.5128 (0.471-0.5585),0.4518 (0.4128-0.4905)
OVAP,0.8951 (0.7962-0.9579),0.1049 (0.0421-0.2038),0.1748 (0.1154-0.2366)
