race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6293 (0.5878-0.6668),0.3707 (0.3332-0.4122),0.4809 (0.4364-0.5212)
OVAP,0.9071 (0.8137-0.9609),0.0929 (0.0391-0.1863),0.2716 (0.2073-0.345)
