race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.5375 (0.4957-0.5736),0.4625 (0.4264-0.5043),0.498 (0.4584-0.5359)
OVAP,0.9396 (0.8806-0.9752),0.0604 (0.0248-0.1194),0.2585 (0.1972-0.3232)
