race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.4453 (0.3868-0.4988),0.5547 (0.5012-0.6132),0.4615 (0.4158-0.5088)
OVAP,0.9209 (0.8446-0.9684),0.0791 (0.0316-0.1554),0.295 (0.2179-0.3692)
