race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.5119 (0.4758-0.5448),0.4881 (0.4552-0.5242),0.6484 (0.6032-0.6932)
OVAP,0.9294 (0.8588-0.9721),0.0706 (0.0279-0.1412),0.2734 (0.2003-0.3463)
