race,AG18D,AG18R,AG18Turnout
WVAP,0.5225 (0.47-0.5713),0.4775 (0.4287-0.53),0.4603 (0.4147-0.5048)
OVAP,0.9301 (0.8588-0.9737),0.0699 (0.0263-0.1412),0.3188 (0.2455-0.3937)
