race,AG14D,AG14R,AG14Turnout
WVAP,0.4869 (0.4389-0.5318),0.5131 (0.4682-0.5611),0.4146 (0.3774-0.4474)
BVAP,0.8913 (0.7712-0.9638),0.1087 (0.0362-0.2288),0.2117 (0.131-0.3004)
HVAP,0.793 (0.5493-0.946),0.207 (0.054-0.4507),0.2847 (0.1558-0.4567)
OVAP,0.7031 (0.4012-0.9018),0.2969 (0.0982-0.5988),0.2249 (0.1199-0.3461)
