,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
572,Baltimore County,1739,Baltimore County Precinct 15-026,1696,7,12,24,108,56,24,1739,1,0.9752731454859115,0.0040253018976423235,0.006900517538815411,0.013801035077630822,1551,0.013801035077630822,0.0621046578493387,0.03220241518113859,0.8918918918918919
573,Baltimore County,2441,Baltimore County Precinct 12-012,2188,111,71,38,82,59,71,2441,1,0.8963539532978287,0.0454731667349447,0.029086439983613273,0.029086439983613273,2262,0.015567390413764851,0.03359278984022941,0.024170421958213846,0.9266693977877919
577,Baltimore County,2668,Baltimore County Precinct 12-010,2310,161,108,56,73,92,89,2668,1,0.8658170914542729,0.0603448275862069,0.04047976011994003,0.03335832083958021,2447,0.020989505247376312,0.027361319340329836,0.034482758620689655,0.9171664167916042
578,Baltimore County,2639,Baltimore County Precinct 12-008,2315,97,127,28,76,84,100,2639,1,0.8772262220538083,0.03675634710117469,0.04812428950359985,0.037893141341417205,2451,0.010610079575596816,0.028798787419477074,0.03183023872679045,0.9287608942781357
579,Baltimore County,3982,Baltimore County Precinct 12-003,3387,171,238,31,148,83,186,3982,1,0.8505775991963838,0.042943244600703166,0.05976896032144651,0.0467101958814666,3720,0.0077850326469111,0.0371672526368659,0.02084379708689101,0.934203917629332
580,Baltimore County,3256,Baltimore County Precinct 12-002,2763,194,175,19,101,87,124,3256,1,0.8485872235872236,0.05958230958230958,0.05374692874692875,0.038083538083538086,3049,0.005835380835380835,0.03101965601965602,0.02671990171990172,0.9364250614250614
587,Baltimore County,2846,Baltimore County Precinct 12-001,2343,167,229,33,76,62,107,2846,1,0.8232607167955025,0.058678847505270554,0.08046380885453268,0.03759662684469431,2675,0.011595221363316937,0.026704146170063246,0.02178496134926212,0.9399156711173577
588,Baltimore County,4204,Baltimore County Precinct 12-007,3764,242,92,42,147,106,106,4204,1,0.8953377735490009,0.05756422454804948,0.021883920076117985,0.02521408182683159,3909,0.009990485252140819,0.03496669838249286,0.02521408182683159,0.9298287345385348
589,Baltimore County,3540,Baltimore County Precinct 12-006,2774,426,108,35,70,82,232,3540,1,0.7836158192090396,0.12033898305084746,0.030508474576271188,0.0655367231638418,3353,0.009887005649717515,0.01977401129943503,0.023163841807909605,0.9471751412429379
590,Baltimore County,3308,Baltimore County Precinct 12-005,2994,128,73,36,118,84,113,3308,1,0.9050785973397824,0.03869407496977025,0.022067714631197097,0.034159613059250304,3070,0.010882708585247884,0.035671100362756954,0.02539298669891173,0.9280532043530835
591,Baltimore County,4898,Baltimore County Precinct 12-004,4398,213,135,40,156,119,152,4898,1,0.897917517354022,0.04348713760718661,0.027562270314414047,0.0310330747243773,4583,0.008166598611678236,0.031849734585545124,0.024295630869742752,0.9356880359330338
592,Baltimore County,2424,Baltimore County Precinct 15-001,1845,175,303,15,46,57,101,2424,1,0.7611386138613861,0.0721947194719472,0.125,0.041666666666666664,2306,0.006188118811881188,0.018976897689768978,0.023514851485148515,0.9513201320132013
593,Baltimore County,3263,Baltimore County Precinct 15-002,2829,174,120,47,106,59,140,3263,1,0.8669935642047196,0.05332516089488201,0.03677597303095311,0.04290530186944529,3051,0.014403922770456636,0.03248544284400858,0.018081520073551946,0.9350291143119829
594,Baltimore County,1177,Baltimore County Precinct 15-014,1054,43,43,12,28,19,37,1177,1,0.8954970263381479,0.03653355989804588,0.03653355989804588,0.03143585386576041,1118,0.010195412064570943,0.0237892948173322,0.016142735768903994,0.9498725573491928
611,Baltimore County,1456,Baltimore County Precinct 12-009,1157,154,73,13,36,21,72,1456,1,0.7946428571428571,0.10576923076923077,0.05013736263736264,0.04945054945054945,1386,0.008928571428571428,0.024725274725274724,0.014423076923076924,0.9519230769230769
612,Baltimore County,4122,Baltimore County Precinct 12-011,3270,565,128,53,94,94,159,4122,1,0.7933042212518195,0.13706938379427464,0.031052886948083454,0.03857350800582242,3881,0.012857836001940806,0.022804463852498787,0.022804463852498787,0.9415332362930616
