,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,102,20,65,619,2889,1,0.7857390100380754,0.21426098996192455,2702,0.035306334371754934,0.006922810661128418,0.02249913464866736,0.9352717203184493
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,121,24,69,1255,4130,1,0.6961259079903148,0.30387409200968524,3916,0.02929782082324455,0.005811138014527845,0.016707021791767553,0.94818401937046
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,31,10,26,374,1265,1,0.7043478260869566,0.2956521739130435,1198,0.02450592885375494,0.007905138339920948,0.020553359683794466,0.9470355731225296
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,92,45,93,713,3157,1,0.774152676591701,0.22584732340829902,2927,0.029141590117199873,0.014254038644282548,0.029458346531517264,0.9271460247070004
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,201,91,137,2701,5523,1,0.5109541915625566,0.48904580843744344,5094,0.03639326453014666,0.016476552598225603,0.024805359406119862,0.9223248234655079
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,83,12,55,100,1411,1,0.9291282778171509,0.07087172218284904,1261,0.058823529411764705,0.008504606661941885,0.03897944720056697,0.8936924167257264
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,81,27,83,1928,6204,1,0.6892327530625403,0.3107672469374597,6013,0.013056092843326886,0.004352030947775629,0.01337846550612508,0.9692134107027724
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,164,33,89,637,3736,1,0.8294967880085653,0.1705032119914347,3450,0.043897216274089934,0.008832976445396146,0.023822269807280513,0.9234475374732334
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,223,28,105,369,2316,1,0.8406735751295337,0.15932642487046633,1960,0.096286701208981,0.012089810017271158,0.04533678756476684,0.846286701208981
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,134,9,68,353,2818,1,0.8747338537970192,0.12526614620298085,2607,0.047551454932576294,0.00319375443577005,0.0241305890702626,0.9251242015613911
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,116,10,63,145,2037,1,0.9288168875797742,0.07118311242022582,1848,0.05694648993618066,0.004909180166912126,0.030927835051546393,0.9072164948453608
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,90,20,55,721,3470,1,0.7922190201729107,0.20778097982708935,3305,0.025936599423631124,0.005763688760806916,0.01585014409221902,0.952449567723343
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,91,14,39,506,2386,1,0.787929589270746,0.21207041072925398,2242,0.038139145012573344,0.00586756077116513,0.016345347862531435,0.9396479463537301
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,197,26,71,156,4029,1,0.9612807148175726,0.0387192851824274,3735,0.04889550757011665,0.006453214197071234,0.017622238768925293,0.9270290394638868
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,126,7,33,164,2502,1,0.9344524380495604,0.06554756195043965,2336,0.050359712230215826,0.002797761790567546,0.013189448441247002,0.9336530775379697
439,Baltimore County,300,Baltimore County Precinct 10-005,276,20,3,13,24,300,1,0.92,0.08,264,0.06666666666666667,0.01,0.043333333333333335,0.88
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,102,13,28,80,1364,1,0.9413489736070382,0.05865102639296188,1221,0.0747800586510264,0.009530791788856305,0.020527859237536656,0.8951612903225806
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,156,19,57,112,3090,1,0.9637540453074434,0.036245954692556634,2858,0.05048543689320388,0.006148867313915857,0.018446601941747572,0.9249190938511327
445,Baltimore County,3678,Baltimore County Precinct 15-007,2778,100,32,116,900,3678,1,0.7553017944535073,0.24469820554649266,3430,0.027188689505165852,0.008700380641653072,0.031538879825992384,0.9325720500271887
446,Baltimore County,2060,Baltimore County Precinct 15-025,1956,97,27,74,104,2060,1,0.9495145631067962,0.05048543689320388,1862,0.0470873786407767,0.013106796116504855,0.035922330097087375,0.903883495145631
447,Baltimore County,3091,Baltimore County Precinct 15-008,2496,121,24,72,595,3091,1,0.8075056615981883,0.1924943384018117,2874,0.03914590747330961,0.007764477515367195,0.023293432546101587,0.9297961824652217
448,Baltimore County,2662,Baltimore County Precinct 15-006,2499,134,24,87,163,2662,1,0.9387678437265214,0.06123215627347859,2417,0.05033809166040571,0.009015777610818933,0.03268219383921863,0.9079639368895567
449,Baltimore County,2544,Baltimore County Precinct 11-004,1999,54,9,36,545,2544,1,0.7857704402515723,0.21422955974842767,2445,0.02122641509433962,0.003537735849056604,0.014150943396226415,0.9610849056603774
450,Baltimore County,86,Baltimore County Precinct 11-020,73,10,2,0,13,86,1,0.8488372093023255,0.1511627906976744,74,0.11627906976744186,0.023255813953488372,0.0,0.8604651162790697
560,Baltimore County,3508,Baltimore County Precinct 15-022,3315,199,51,142,193,3508,1,0.9449828962371721,0.05501710376282782,3116,0.05672748004561003,0.014538198403648802,0.04047890535917902,0.8882554161915621
561,Baltimore County,4160,Baltimore County Precinct 15-021,3797,209,39,152,363,4160,1,0.9127403846153846,0.08725961538461538,3760,0.05024038461538462,0.009375,0.03653846153846154,0.9038461538461539
562,Baltimore County,4692,Baltimore County Precinct 15-020,4264,204,44,126,428,4692,1,0.9087809036658141,0.09121909633418585,4318,0.043478260869565216,0.00937766410912191,0.026854219948849106,0.9202898550724637
563,Baltimore County,2809,Baltimore County Precinct 15-015,2416,72,24,63,393,2809,1,0.8600925596297615,0.13990744037023853,2650,0.025631897472410112,0.008543965824136704,0.022427910288358846,0.9433962264150944
564,Baltimore County,1897,Baltimore County Precinct 15-013,1758,89,13,72,139,1897,1,0.926726410121244,0.07327358987875593,1723,0.04691618344754876,0.006852925672113864,0.037954665260938325,0.908276225619399
565,Baltimore County,2156,Baltimore County Precinct 15-012,1954,108,16,86,202,2156,1,0.9063079777365491,0.09369202226345083,1946,0.05009276437847866,0.0074211502782931356,0.039888682745825604,0.9025974025974026
566,Baltimore County,3144,Baltimore County Precinct 15-016,2489,80,17,73,655,3144,1,0.7916666666666666,0.20833333333333334,2974,0.02544529262086514,0.005407124681933842,0.02321882951653944,0.9459287531806616
567,Baltimore County,3506,Baltimore County Precinct 15-017,1421,95,60,100,2085,3506,1,0.40530519110096974,0.5946948088990303,3251,0.027096406160867084,0.017113519680547633,0.02852253280091272,0.9272675413576725
568,Baltimore County,5453,Baltimore County Precinct 15-023,1748,71,49,90,3705,5453,1,0.3205574912891986,0.6794425087108014,5243,0.01302035576746745,0.008985879332477536,0.01650467632495874,0.9614890885750963
569,Baltimore County,975,Baltimore County Precinct 15-024,813,45,10,22,162,975,1,0.8338461538461538,0.16615384615384615,898,0.046153846153846156,0.010256410256410256,0.022564102564102566,0.921025641025641
570,Baltimore County,2919,Baltimore County Precinct 15-018,2086,114,26,55,833,2919,1,0.7146282973621103,0.2853717026378897,2724,0.03905447070914697,0.008907159986296678,0.01884206920178143,0.9331963001027749
571,Baltimore County,3443,Baltimore County Precinct 15-019,3220,173,27,88,223,3443,1,0.9352309032820215,0.06476909671797851,3155,0.05024687772291606,0.007841998257333721,0.025559105431309903,0.9163520185884403
572,Baltimore County,1739,Baltimore County Precinct 15-026,1696,130,11,51,43,1739,1,0.9752731454859115,0.024726854514088556,1547,0.07475560667050028,0.0063254744105807935,0.029327199539965498,0.8895917193789534
573,Baltimore County,2441,Baltimore County Precinct 12-012,2188,94,16,67,253,2441,1,0.8963539532978287,0.10364604670217124,2264,0.03850880786562884,0.006554690700532569,0.02744776730848013,0.9274887341253585
577,Baltimore County,2668,Baltimore County Precinct 12-010,2310,96,38,84,358,2668,1,0.8658170914542729,0.13418290854572715,2450,0.035982008995502246,0.01424287856071964,0.031484257871064465,0.9182908545727136
578,Baltimore County,2639,Baltimore County Precinct 12-008,2315,93,10,84,324,2639,1,0.8772262220538083,0.12277377794619174,2452,0.035240621447518,0.0037893141341417205,0.03183023872679045,0.9291398256915498
579,Baltimore County,3982,Baltimore County Precinct 12-003,3387,137,30,96,595,3982,1,0.8505775991963838,0.14942240080361627,3719,0.03440482169763938,0.007533902561526871,0.024108488196885988,0.9339527875439477
580,Baltimore County,3256,Baltimore County Precinct 12-002,2763,123,21,69,493,3256,1,0.8485872235872236,0.15141277641277642,3043,0.03777641277641278,0.006449631449631449,0.02119164619164619,0.9345823095823096
587,Baltimore County,2846,Baltimore County Precinct 12-001,2343,88,18,67,503,2846,1,0.8232607167955025,0.17673928320449753,2673,0.030920590302178495,0.006324666198172874,0.02354181307097681,0.9392129304286718
588,Baltimore County,4204,Baltimore County Precinct 12-007,3764,168,32,96,440,4204,1,0.8953377735490009,0.10466222645099905,3908,0.039961941008563276,0.007611798287345386,0.022835394862036156,0.9295908658420552
589,Baltimore County,3540,Baltimore County Precinct 12-006,2774,83,38,80,766,3540,1,0.7836158192090396,0.21638418079096045,3339,0.02344632768361582,0.010734463276836158,0.022598870056497175,0.9432203389830508
590,Baltimore County,3308,Baltimore County Precinct 12-005,2994,118,21,100,314,3308,1,0.9050785973397824,0.09492140266021766,3069,0.035671100362756954,0.0063482466747279325,0.030229746070133012,0.9277509068923822
591,Baltimore County,4898,Baltimore County Precinct 12-004,4398,169,42,110,500,4898,1,0.897917517354022,0.10208248264597795,4577,0.03450387913434055,0.008574928542262147,0.022458146182115148,0.9344630461412822
592,Baltimore County,2424,Baltimore County Precinct 15-001,1845,52,18,57,579,2424,1,0.7611386138613861,0.23886138613861385,2297,0.02145214521452145,0.007425742574257425,0.023514851485148515,0.9476072607260726
593,Baltimore County,3263,Baltimore County Precinct 15-002,2829,99,33,73,434,3263,1,0.8669935642047196,0.1330064357952804,3058,0.030340177750536317,0.010113392583512106,0.022372050260496476,0.9371743794054551
594,Baltimore County,1177,Baltimore County Precinct 15-014,1054,32,10,20,123,1177,1,0.8954970263381479,0.10450297366185217,1115,0.027187765505522515,0.008496176720475786,0.016992353440951572,0.9473237043330501
611,Baltimore County,1456,Baltimore County Precinct 12-009,1157,34,11,28,299,1456,1,0.7946428571428571,0.20535714285714285,1383,0.023351648351648352,0.007554945054945055,0.019230769230769232,0.9498626373626373
612,Baltimore County,4122,Baltimore County Precinct 12-011,3270,140,30,78,852,4122,1,0.7933042212518195,0.2066957787481805,3874,0.033964095099466275,0.00727802037845706,0.018922852983988356,0.9398350315380883
613,Baltimore County,1905,Baltimore County Precinct 12-013,167,63,36,102,1738,1905,1,0.08766404199475065,0.9123359580052494,1704,0.03307086614173228,0.01889763779527559,0.05354330708661417,0.8944881889763779
796,Baltimore County,1239,Baltimore County Precinct 13-006,980,30,11,22,259,1239,1,0.7909604519774012,0.20903954802259886,1176,0.024213075060532687,0.00887812752219532,0.01775625504439064,0.9491525423728814
797,Baltimore County,2979,Baltimore County Precinct 13-007,1367,51,21,48,1612,2979,1,0.4588788183954347,0.5411211816045652,2859,0.017119838872104734,0.007049345417925478,0.016112789526686808,0.959718026183283
798,Baltimore County,5380,Baltimore County Precinct 13-009,3849,112,33,104,1531,5380,1,0.7154275092936803,0.2845724907063197,5131,0.020817843866171002,0.006133828996282528,0.019330855018587362,0.9537174721189591
804,Baltimore County,2262,Baltimore County Precinct 13-008,1953,74,15,59,309,2262,1,0.863395225464191,0.13660477453580902,2114,0.032714412024756855,0.006631299734748011,0.026083112290008842,0.9345711759504863
823,Baltimore County,2920,Baltimore County Precinct 14-011,1954,86,33,89,966,2920,1,0.6691780821917809,0.3308219178082192,2712,0.02945205479452055,0.011301369863013699,0.03047945205479452,0.9287671232876712
824,Baltimore County,2766,Baltimore County Precinct 14-007,2061,117,31,80,705,2766,1,0.745119305856833,0.25488069414316705,2538,0.04229934924078091,0.011207519884309472,0.028922631959508314,0.9175704989154013
825,Baltimore County,3521,Baltimore County Precinct 14-008,1352,172,77,127,2169,3521,1,0.38398182334564046,0.6160181766543595,3145,0.048849758591309286,0.02186878727634195,0.03606929849474581,0.8932121556376029
829,Baltimore County,4086,Baltimore County Precinct 09-022,3162,192,42,111,924,4086,1,0.7738619676945668,0.2261380323054332,3741,0.04698972099853157,0.010279001468428781,0.027165932452276064,0.9155653450807636
830,Baltimore County,2181,Baltimore County Precinct 14-012,1973,151,19,66,208,2181,1,0.9046309032553874,0.09536909674461257,1945,0.06923429619440624,0.00871160018340211,0.030261348005502064,0.8917927556166896
831,Baltimore County,723,Baltimore County Precinct 14-014,485,33,8,18,238,723,1,0.6708160442600276,0.32918395573997233,664,0.04564315352697095,0.011065006915629323,0.024896265560165973,0.9183955739972337
832,Baltimore County,3444,Baltimore County Precinct 14-006,2936,195,40,157,508,3444,1,0.8524970963995354,0.14750290360046459,3052,0.05662020905923345,0.011614401858304297,0.04558652729384437,0.8861788617886179
833,Baltimore County,2262,Baltimore County Precinct 14-001,2044,148,21,80,218,2262,1,0.9036251105216623,0.09637488947833775,2013,0.06542882404951371,0.009283819628647215,0.03536693191865606,0.889920424403183
834,Baltimore County,2561,Baltimore County Precinct 14-010,1869,153,52,87,692,2561,1,0.7297930495900039,0.2702069504099961,2269,0.059742288168684106,0.02030456852791878,0.033971105037094884,0.8859820382663022
835,Baltimore County,4471,Baltimore County Precinct 14-009,1738,148,63,113,2733,4471,1,0.38872735405949455,0.6112726459405055,4147,0.03310221426973831,0.01409080742563185,0.025273987922165064,0.9275329903824647
836,Baltimore County,1191,Baltimore County Precinct 14-005,540,14,9,15,651,1191,1,0.4534005037783375,0.5465994962216625,1153,0.011754827875734676,0.007556675062972292,0.012594458438287154,0.9680940386230059
837,Baltimore County,2619,Baltimore County Precinct 11-016,1527,23,16,31,1092,2619,1,0.5830469644902635,0.41695303550973656,2549,0.008781977854142803,0.0061092019854906456,0.011836578846888126,0.9732722413134784
838,Baltimore County,4063,Baltimore County Precinct 14-002,2593,167,47,130,1470,4063,1,0.6381983755845434,0.36180162441545655,3719,0.04110263352202806,0.011567807039133645,0.03199606202313562,0.9153334974157027
839,Baltimore County,3933,Baltimore County Precinct 11-011,2948,148,29,82,985,3933,1,0.7495550470378846,0.25044495296211544,3674,0.03763030765319095,0.00737350622934147,0.020849224510551743,0.9341469616069158
