,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,223,630,619,2889,1,0.7857390100380754,0.21426098996192455,2036,0.07718933887158186,0.21806853582554517,0.704742125302873
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,423,721,1255,4130,1,0.6961259079903148,0.30387409200968524,2986,0.10242130750605327,0.17457627118644067,0.723002421307506
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,118,200,374,1265,1,0.7043478260869566,0.2956521739130435,947,0.0932806324110672,0.15810276679841898,0.7486166007905138
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,307,563,713,3157,1,0.774152676591701,0.22584732340829902,2287,0.09724421919543871,0.17833386126069053,0.7244219195438708
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,693,1088,2701,5523,1,0.5109541915625566,0.48904580843744344,3742,0.12547528517110265,0.19699438710845554,0.6775303277204417
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,81,447,100,1411,1,0.9291282778171509,0.07087172218284904,883,0.057406094968107724,0.31679659815733524,0.625797306874557
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,436,450,1928,6204,1,0.6892327530625403,0.3107672469374597,5318,0.07027724049000644,0.0725338491295938,0.8571889103803998
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,255,927,637,3736,1,0.8294967880085653,0.1705032119914347,2554,0.06825481798715204,0.24812633832976447,0.6836188436830836
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,324,1195,369,2316,1,0.8406735751295337,0.15932642487046633,797,0.13989637305699482,0.5159758203799655,0.3441278065630397
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,152,754,353,2818,1,0.8747338537970192,0.12526614620298085,1912,0.0539389638041164,0.2675656493967353,0.6784953867991483
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,117,670,145,2037,1,0.9288168875797742,0.07118311242022582,1250,0.05743740795287187,0.3289150711831124,0.6136475208640157
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,258,1014,721,3470,1,0.7922190201729107,0.20778097982708935,2198,0.07435158501440922,0.2922190201729107,0.6334293948126801
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,162,756,506,2386,1,0.787929589270746,0.21207041072925398,1468,0.06789606035205364,0.316848281642917,0.6152556580050293
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,154,1637,156,4029,1,0.9612807148175726,0.0387192851824274,2238,0.038222884090345,0.4063042938694465,0.5554728220402085
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,195,994,164,2502,1,0.9344524380495604,0.06554756195043965,1313,0.07793764988009592,0.39728217426059154,0.5247801758593126
439,Baltimore County,300,Baltimore County Precinct 10-005,276,20,154,24,300,1,0.92,0.08,126,0.06666666666666667,0.5133333333333333,0.42
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,83,448,80,1364,1,0.9413489736070382,0.05865102639296188,833,0.06085043988269795,0.3284457478005865,0.6107038123167156
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,136,992,112,3090,1,0.9637540453074434,0.036245954692556634,1962,0.04401294498381877,0.32103559870550163,0.6349514563106796
445,Baltimore County,3678,Baltimore County Precinct 15-007,2778,256,692,900,3678,1,0.7553017944535073,0.24469820554649266,2730,0.06960304513322457,0.1881457313757477,0.7422512234910277
446,Baltimore County,2060,Baltimore County Precinct 15-025,1956,200,979,104,2060,1,0.9495145631067962,0.05048543689320388,881,0.0970873786407767,0.47524271844660193,0.42766990291262136
447,Baltimore County,3091,Baltimore County Precinct 15-008,2496,253,746,595,3091,1,0.8075056615981883,0.1924943384018117,2092,0.08185053380782918,0.24134584276933033,0.6768036234228405
448,Baltimore County,2662,Baltimore County Precinct 15-006,2499,91,1087,163,2662,1,0.9387678437265214,0.06123215627347859,1484,0.034184823441021785,0.4083395942900075,0.5574755822689706
449,Baltimore County,2544,Baltimore County Precinct 11-004,1999,225,815,545,2544,1,0.7857704402515723,0.21422955974842767,1504,0.08844339622641509,0.3203616352201258,0.5911949685534591
450,Baltimore County,86,Baltimore County Precinct 11-020,73,0,16,13,86,1,0.8488372093023255,0.1511627906976744,70,0.0,0.18604651162790697,0.813953488372093
560,Baltimore County,3508,Baltimore County Precinct 15-022,3315,115,1187,193,3508,1,0.9449828962371721,0.05501710376282782,2206,0.03278221208665907,0.33836944127708096,0.62884834663626
561,Baltimore County,4160,Baltimore County Precinct 15-021,3797,175,1319,363,4160,1,0.9127403846153846,0.08725961538461538,2666,0.042067307692307696,0.3170673076923077,0.6408653846153847
562,Baltimore County,4692,Baltimore County Precinct 15-020,4264,188,1134,428,4692,1,0.9087809036658141,0.09121909633418585,3370,0.040068201193520885,0.24168797953964194,0.7182438192668372
563,Baltimore County,2809,Baltimore County Precinct 15-015,2416,118,628,393,2809,1,0.8600925596297615,0.13990744037023853,2063,0.042007831968672124,0.22356710573157706,0.7344250622997508
564,Baltimore County,1897,Baltimore County Precinct 15-013,1758,67,589,139,1897,1,0.926726410121244,0.07327358987875593,1241,0.035318924617817604,0.3104902477596205,0.654190827622562
565,Baltimore County,2156,Baltimore County Precinct 15-012,1954,111,637,202,2156,1,0.9063079777365491,0.09369202226345083,1408,0.05148423005565863,0.29545454545454547,0.6530612244897959
