race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9834 (0.9723-0.9915),0.0166 (0.0085-0.0277),0.0798 (0.0668-0.0933)
OVAP,0.8515 (0.7953-0.8893),0.1485 (0.1107-0.2047),0.075 (0.0543-0.0957)
