race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.6619 (0.6293-0.6895),0.3381 (0.3105-0.3707),0.7645 (0.7073-0.8133)
OVAP,0.9019 (0.8166-0.9583),0.0981 (0.0417-0.1834),0.4182 (0.3348-0.5138)
