race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5825 (0.5434-0.6192),0.4175 (0.3808-0.4566),0.5909 (0.5447-0.6305)
BVAP,0.8781 (0.7333-0.9569),0.1219 (0.0431-0.2667),0.2527 (0.1496-0.363)
HVAP,0.771 (0.5153-0.9349),0.229 (0.0651-0.4847),0.3445 (0.1708-0.5401)
OVAP,0.7054 (0.4631-0.8985),0.2946 (0.1015-0.5369),0.3132 (0.1888-0.472)
