race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9873 (0.9785-0.9931),0.0127 (0.0069-0.0215),0.0759 (0.064-0.0871)
BVAP,0.9375 (0.8676-0.9755),0.0625 (0.0245-0.1324),0.0872 (0.0463-0.1307)
HVAP,0.6753 (0.4756-0.8146),0.3247 (0.1854-0.5244),0.1793 (0.1086-0.2585)
OVAP,0.8601 (0.7-0.9524),0.1399 (0.0476-0.3),0.046 (0.0203-0.081)
