race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.713 (0.6742-0.7536),0.287 (0.2464-0.3258),0.7372 (0.6795-0.787)
BVAP,0.857 (0.7171-0.9434),0.143 (0.0566-0.2829),0.4684 (0.3248-0.628)
HVAP,0.8478 (0.726-0.9421),0.1522 (0.0579-0.274),0.8798 (0.7521-0.9586)
OVAP,0.681 (0.409-0.8832),0.319 (0.1168-0.591),0.4528 (0.3053-0.6487)
