race,AG14D,AG14R,AG14Turnout
WVAP,0.5102 (0.464-0.5488),0.4898 (0.4512-0.536),0.5957 (0.5445-0.6439)
OVAP,0.8969 (0.7965-0.9585),0.1031 (0.0415-0.2035),0.2348 (0.1585-0.3154)
