race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.397 (0.3403-0.4487),0.603 (0.5513-0.6597),0.6256 (0.5745-0.6768)
OVAP,0.8939 (0.7709-0.9609),0.1061 (0.0391-0.2291),0.2489 (0.1697-0.3328)
